lr-AdamW/pg3,valid_loss_a,valid_loss,step,lr-AdamW/pg2,epoch,valid_loss_c,valid_collapse,lr-AdamW/pg1,valid_loss_t,train_loss,train_loss_a,train_loss_c,train_collapse,train_loss_t
,,,2981,,13,,,,,0.9876629710197449,0.17727941274642944,0.740837037563324,0.579387366771698,0.8799302577972412
0.00031769388132805586,,,2982,0.00031769388132805586,,,,0.00031769388132805586,,,,,,
,0.2838504910469055,1.0046937465667725,3194,,14,0.9348746538162231,0.27638453245162964,,0.5068118572235107,,,,,
,,,3194,,14,,,,,0.981179416179657,0.17973481118679047,0.73005211353302,0.585334062576294,0.8728373050689697
0.0003265453254155563,,,3195,0.0003265453254155563,,,,0.0003265453254155563,,,,,,
,0.30963048338890076,1.0266144275665283,3407,,15,0.9320716857910156,0.31517502665519714,,0.5018961429595947,,,,,
,,,3407,,15,,,,,0.9773932695388794,0.18208369612693787,0.7224565744400024,0.5968228578567505,0.8681625723838806
0.00033569279379689287,,,3408,0.00033569279379689287,,,,0.00033569279379689287,,,,,,
,0.28659534454345703,1.0016653537750244,3620,,16,0.9280668497085571,0.306532084941864,,0.5020729899406433,,,,,
,,,3620,,16,,,,,0.9792304039001465,0.18549467623233795,0.7199680805206299,0.6059774160385132,0.8675031661987305
0.00034508040181509107,,,3621,0.00034508040181509107,,,,0.00034508040181509107,,,,,,
,0.3459647297859192,1.0679558515548706,3833,,17,0.9401617646217346,0.2973830997943878,,0.5038206577301025,,,,,
,,,3833,,17,,,,,0.978949248790741,0.18870069086551666,0.7161276936531067,0.6152186989784241,0.8643689155578613
0.0003546507977273471,,,3834,0.0003546507977273471,,,,0.0003546507977273471,,,,,,
,0.42877769470214844,1.1518309116363525,4046,,18,0.9413375854492188,0.29620257019996643,,0.5047687888145447,,,,,
,,,4046,,18,,,,,0.9799907803535461,0.19129517674446106,0.7137691378593445,0.6227639317512512,0.863621711730957
0.000364345513084209,,,4047,0.000364345513084209,,,,0.000364345513084209,,,,,,
,0.3851577043533325,1.1027288436889648,4259,,19,0.9318051338195801,0.3050401508808136,,0.5033373832702637,,,,,
,,,4259,,19,,,,,0.9728386998176575,0.1908068209886551,0.705276608467102,0.6352255344390869,0.8587870001792908
0.0003741053199310557,,,4260,0.0003741053199310557,,,,0.0003741053199310557,,,,,,
,0.4181577265262604,1.132593035697937,4472,,20,0.926478922367096,0.323827862739563,,0.5023917555809021,,,,,
,,,4472,,20,,,,,0.9761348366737366,0.19240905344486237,0.7078968286514282,0.6425222754478455,0.859554648399353
0.00038387059264962466,,,4473,0.00038387059264962466,,,,0.00038387059264962466,,,,,,
,0.4212990701198578,1.1373201608657837,4685,,21,0.9305059909820557,0.3285350501537323,,0.5015363097190857,,,,,
,,,4685,,21,,,,,0.9742279052734375,0.1924770325422287,0.7055834531784058,0.6496404409408569,0.8579184412956238
0.00039358167222898596,,,4686,0.00039358167222898596,,,,0.00039358167222898596,,,,,,
,0.4928850829601288,1.2166928052902222,4898,,22,0.9391122460365295,0.2996685206890106,,0.5085030794143677,,,,,
,,,4898,,22,,,,,0.9791180491447449,0.19533604383468628,0.7086353302001953,0.6515704989433289,0.8589286804199219
0.0004031792307405235,,,4899,0.0004031792307405235,,,,0.0004031792307405235,,,,,,
,0.4719875454902649,1.1876837015151978,5111,,23,0.929495096206665,0.3264020085334778,,0.5018972158432007,,,,,
,,,5111,,23,,,,,0.9770090579986572,0.19771027565002441,0.702460527420044,0.6547145247459412,0.8561368584632874
0.0004126046337902329,,,5112,0.0004126046337902329,,,,0.0004126046337902329,,,,,,
,0.42358341813087463,1.1390886306762695,5324,,24,0.9287236332893372,0.33816999197006226,,0.502286970615387,,,,,
,,,5324,,24,,,,,0.9790197014808655,0.200784832239151,0.7012938857078552,0.6575587391853333,0.8551758527755737
0.00042180029873400743,,,5325,0.00042180029873400743,,,,0.00042180029873400743,,,,,,
,0.49739930033683777,1.2116823196411133,5537,,25,0.9276015162467957,0.32554957270622253,,0.5009644031524658,,,,,
,,,5537,,25,,,,,0.9809457063674927,0.20239122211933136,0.7020108103752136,0.6586651802062988,0.8550978302955627
0.00043071004646746383,,,5538,0.00043071004646746383,,,,0.00043071004646746383,,,,,,
,0.42073965072631836,1.131364345550537,5750,,26,0.9201488494873047,0.3747786283493042,,0.5011003017425537,,,,,
,,,5750,,26,,,,,0.9791187644004822,0.20328707993030548,0.6976549029350281,0.6640132069587708,0.8540084958076477
0.00043927944464111916,,,5751,0.00043927944464111916,,,,0.00043927944464111916,,,,,,
,0.4997270703315735,1.2213590145111084,5963,,27,0.9378434419631958,0.3187069594860077,,0.5054206848144531,,,,,
,,,5963,,27,,,,,0.9779570698738098,0.20331229269504547,0.6966501474380493,0.6660547852516174,0.8526394963264465
0.0004474561402041128,,,5964,0.0004474561402041128,,,,0.0004474561402041128,,,,,,
,0.49427497386932373,1.2076984643936157,6176,,28,0.9255324602127075,0.3268232047557831,,0.5013146996498108,,,,,
,,,6176,,28,,,,,0.9798885583877563,0.20423835515975952,0.6974304914474487,0.667744517326355,0.8538697361946106
0.0004551901792448624,,,6177,0.0004551901792448624,,,,0.0004551901792448624,,,,,,
,0.47136738896369934,1.187296986579895,6389,,29,0.9311521649360657,0.3498895764350891,,0.5007069706916809,,,,,
,,,6389,,29,,,,,0.977715253829956,0.203630730509758,0.696061909198761,0.6713828444480896,0.8521076440811157
0.0004624343121746506,,,6390,0.0004624343121746506,,,,0.0004624343121746506,,,,,,
,0.4325689673423767,1.150174617767334,6602,,30,0.9309792518615723,0.3523944020271301,,0.5042320489883423,,,,,
,,,6602,,30,,,,,0.9751946330070496,0.20398300886154175,0.6926078200340271,0.6721627712249756,0.8498154282569885
0.00046914428238968456,,,6603,0.00046914428238968456,,,,0.00046914428238968456,,,,,,
,0.4368484616279602,1.1512722969055176,6815,,31,0.927182137966156,0.3446791470050812,,0.5016655325889587,,,,,
,,,6815,,31,,,,,0.9709752202033997,0.20042511820793152,0.6918363571166992,0.6841297149658203,0.8492638468742371
0.0004752790966481027,,,6816,0.0004752790966481027,,,,0.0004752790966481027,,,,,,
,0.47900688648223877,1.200946569442749,7028,,32,0.9369633197784424,0.29451942443847656,,0.5069159865379333,,,,,
,,,7028,,32,,,,,0.9636821746826172,0.1971014142036438,0.6866024732589722,0.6852867603302002,0.8465589284896851
0.0004808012755101143,,,7029,0.0004808012755101143,,,,0.0004808012755101143,,,,,,
,0.46751630306243896,1.1744494438171387,7241,,33,0.9153895378112793,0.3362165093421936,,0.49847686290740967,,,,,
,,,7241,,33,,,,,0.9603965878486633,0.19577820599079132,0.6847020983695984,0.6849206686019897,0.8445342779159546
0.00048567708231125753,,,7242,0.00048567708231125753,,,,0.00048567708231125753,,,,,,
,0.4842164218425751,1.2062077522277832,7454,,34,0.9423161745071411,0.29106420278549194,,0.5016665458679199,,,,,
,,,7454,,34,,,,,0.9644244909286499,0.1971597969532013,0.6876226663589478,0.6843835115432739,0.8469067215919495
0.0004898767292699081,,,7455,0.0004898767292699081,,,,0.0004898767292699081,,,,,,
,0.501878559589386,1.218556523323059,7667,,35,0.9336807727813721,0.294329434633255,,0.49967503547668457,,,,,
,,,7667,,35,,,,,0.9631017446517944,0.19692672789096832,0.6859166622161865,0.6890326142311096,0.8464335799217224
0.0004933745594698666,,,7668,0.0004933745594698666,,,,0.0004933745594698666,,,,,,
,0.4986119568347931,1.2138772010803223,7880,,36,0.929431140422821,0.3045615255832672,,0.5010991096496582,,,,,
,,,7880,,36,,,,,0.9612751007080078,0.1963312029838562,0.6849162578582764,0.688368022441864,0.8449714183807373
0.0004961492036062353,,,7881,0.0004961492036062353,,,,0.0004961492036062353,,,,,,
,0.5195156931877136,1.230101466178894,8093,,37,0.9206877946853638,0.3313225209712982,,0.5004835724830627,,,,,
,,,8093,,37,,,,,0.9552614092826843,0.19479802250862122,0.6787786483764648,0.6914675235748291,0.8421480655670166
0.0004981837105369799,,,8094,0.0004981837105369799,,,,0.0004981837105369799,,,,,,
,0.5137374997138977,1.2195550203323364,8306,,38,0.9152675867080688,0.3137281835079193,,0.4963674247264862,,,,,
,,,8306,,38,,,,,0.9526934027671814,0.19450731575489044,0.6757699847221375,0.6930751800537109,0.8406023383140564
0.0004994656508425933,,,8307,0.0004994656508425933,,,,0.0004994656508425933,,,,,,
,0.5114472508430481,1.2253706455230713,8519,,39,0.929029643535614,0.2996300160884857,,0.49881717562675476,,,,,
,,,8519,,39,,,,,0.9505020380020142,0.1936195343732834,0.6749579906463623,0.6940257549285889,0.8388068079948425
0.0004999871927611878,,,8520,0.0004999871927611878,,,,0.0004999871927611878,,,,,,
,0.5145084261894226,1.2298768758773804,8732,,40,0.9317752122879028,0.3209455609321594,,0.4989616572856903,,,,,
,,,8732,,40,,,,,0.9545440077781677,0.1954040229320526,0.6778772473335266,0.6942285299301147,0.8404027223587036
0.0004999701322302278,,,8733,0.0004999701322302278,,,,0.0004999701322302278,,,,,,
,0.5273169279098511,1.2455865144729614,8945,,41,0.9343896508216858,0.30515870451927185,,0.5021497011184692,,,,,
,,,8945,,41,,,,,0.9497193098068237,0.19396834075450897,0.6733341217041016,0.6991477608680725,0.8381678462028503
0.0004998522628143321,,,8946,0.0004998522628143321,,,,0.0004998522628143321,,,,,,
,0.5199892520904541,1.2226166725158691,9158,,42,0.9052146673202515,0.29283595085144043,,0.5000401139259338,,,,,
,,,9158,,42,,,,,0.9510083794593811,0.19411499798297882,0.6746059656143188,0.6976155638694763,0.8391807675361633
0.0004996449362478648,,,9159,0.0004996449362478648,,,,0.0004996449362478648,,,,,,
,0.5245565176010132,1.2395992279052734,9371,,43,0.931728184223175,0.30788829922676086,,0.49835747480392456,,,,,
,,,9371,,43,,,,,0.9507710933685303,0.1940326988697052,0.674612283706665,0.6968329548835754,0.8388643860816956
0.000499348231713939,,,9372,0.000499348231713939,,,,0.000499348231713939,,,,,,
,0.4858054220676422,1.216858983039856,9584,,44,0.9481986165046692,0.31604745984077454,,0.513908326625824,,,,,
,,,9584,,44,,,,,1.0617597103118896,0.19572962820529938,0.8270251154899597,0.6966646313667297,0.9050351977348328
0.0004989622625313114,,,9585,0.0004989622625313114,,,,0.0004989622625313114,,,,,,
,0.53597092628479,1.2628437280654907,9797,,45,0.9454721808433533,0.31232723593711853,,0.5082733631134033,,,,,
,,,9797,,45,,,,,1.0193818807601929,0.19904853403568268,0.7430672645568848,0.7007191181182861,0.897599458694458
0.0004984871761111026,,,9798,0.0004984871761111026,,,,0.0004984871761111026,,,,,,
,0.494807630777359,1.2163989543914795,10010,,46,0.937644362449646,0.29727408289909363,,0.5055383443832397,,,,,
,,,10010,,46,,,,,0.9818853139877319,0.19507113099098206,0.7080054879188538,0.7045115232467651,0.865622878074646
0.0004979231539004974,,,10011,0.0004979231539004974,,,,0.0004979231539004974,,,,,,
,0.5043494701385498,1.2207903861999512,10223,,47,0.9302053451538086,0.28976595401763916,,0.5026763081550598,,,,,
,,,10223,,47,,,,,0.9682723879814148,0.19478286802768707,0.6947774887084961,0.7013128995895386,0.8522011637687683
0.0004972704113134454,,,10224,0.0004972704113134454,,,,0.0004972704113134454,,,,,,
,0.49756887555122375,1.2235437631607056,10436,,48,0.946477472782135,0.30659615993499756,,0.5054722428321838,,,,,
,,,10436,,48,,,,,0.9567840099334717,0.19222259521484375,0.6841906905174255,0.702413022518158,0.8449321985244751
0.0004965291976483894,,,10437,0.0004965291976483894,,,,0.0004965291976483894,,,,,,
,0.47952717542648315,1.1945737600326538,10649,,49,0.9304583072662354,0.32357433438301086,,0.49963492155075073,,,,,
,,,10649,,49,,,,,0.9566404819488525,0.1924227625131607,0.6841903924942017,0.6998288035392761,0.8442453145980835
0.0004956997959930523,,,10650,0.0004956997959930523,,,,0.0004956997959930523,,,,,,
,0.4744967520236969,1.1903589963912964,10862,,50,0.9331533312797546,0.31042954325675964,,0.49857139587402344,,,,,
,,,10862,,50,,,,,0.9541354775428772,0.1921197474002838,0.6808868646621704,0.6985700726509094,0.843144416809082
0.0004947825231163187,,,10863,0.0004947825231163187,,,,0.0004947825231163187,,,,,,
,0.49199625849723816,1.2023274898529053,11075,,51,0.9235122799873352,0.3059813678264618,,0.4971499741077423,,,,,
,,,11075,,51,,,,,0.9430102705955505,0.18862339854240417,0.6712386012077332,0.7009623050689697,0.8375350832939148
0.0004937777293472529,,,11076,0.0004937777293472529,,,,0.0004937777293472529,,,,,,
,0.4678623378276825,1.1795345544815063,11288,,52,0.9203575849533081,0.30558860301971436,,0.5029868483543396,,,,,
,,,11288,,52,,,,,0.9396321773529053,0.1877637803554535,0.668567419052124,0.7002295255661011,0.8351693153381348
0.0004926857984412999,,,11289,0.0004926857984412999,,,,0.0004926857984412999,,,,,,
,0.49150389432907104,1.2036423683166504,11501,,53,0.9251223802566528,0.30410438776016235,,0.4991546869277954,,,,,
,,,11501,,53,,,,,0.9388485550880432,0.1876472532749176,0.6673981547355652,0.7021021246910095,0.8350048661231995
0.0004915071474337201,,,11502,0.0004915071474337201,,,,0.0004915071474337201,,,,,,
,0.5214942693710327,1.23981511592865,11714,,54,0.9371698498725891,0.29157352447509766,,0.49947184324264526,,,,,
,,,11714,,54,,,,,0.9424334168434143,0.18858078122138977,0.6707677841186523,0.6989598274230957,0.8369373679161072
0.0004902422264803124,,,11715,0.0004902422264803124,,,,0.0004902422264803124,,,,,,
