lr-AdamW/pg3,lr-AdamW/pg2,valid_collapse,lr-AdamW/pg1,valid_loss_t,valid_loss_c,epoch,valid_loss,step,valid_loss_a,train_loss_a,train_loss,train_loss_c,train_collapse,train_loss_t
0.00025,0.00025,,0.00025,,,,,0,,,,,,
,,0.2410297691822052,,0.7805226445198059,0.8825303912162781,0,1.4592034816741943,212,0.6276769638061523,,,,,
,,,,,,0,,212,,0.15652959048748016,0.8691995143890381,0.6185079216957092,0.6632007956504822,0.8068317174911499
0.0002503818314439925,0.0002503818314439925,,0.0002503818314439925,,,,,213,,,,,,
,,0.2585815191268921,,0.7845571041107178,0.872112512588501,1,1.4732410907745361,425,0.644906222820282,,,,,
,,,,,,1,,425,,0.1579490303993225,0.8645631670951843,0.6104469299316406,0.6699854135513306,0.8027816414833069
0.00025152499305194405,0.00025152499305194405,,0.00025152499305194405,,,,,426,,,,,,
,,0.2663426697254181,,0.7774634957313538,0.8687793016433716,2,1.4661509990692139,638,0.6430296301841736,,,,,
,,,,,,2,,638,,0.16184671223163605,0.8735601305961609,0.6165284514427185,0.6732338070869446,0.8068986535072327
0.000253422500903095,0.000253422500903095,,0.000253422500903095,,,,,639,,,,,,
,,0.2590685784816742,,0.7728729248046875,0.8663642406463623,3,1.4888596534729004,851,0.6692409515380859,,,,,
,,,,,,3,,851,,0.16321448981761932,0.8708512783050537,0.6118077039718628,0.6768108010292053,0.8034658432006836
0.0002560627625468406,0.0002560627625468406,,0.0002560627625468406,,,,,852,,,,,,
,,0.2688228189945221,,0.7643675208091736,0.8446129560470581,4,1.4590275287628174,1064,0.6545372605323792,,,,,
,,,,,,4,,1064,,0.16480012238025665,0.8757564425468445,0.6155611872673035,0.678119421005249,0.806351900100708
0.0002594296478245257,0.0002594296478245257,,0.0002594296478245257,,,,,1065,,,,,,
,,0.25734400749206543,,0.7774654030799866,0.873523473739624,5,1.4976489543914795,1277,0.672154426574707,,,,,
,,,,,,5,,1277,,0.16542142629623413,0.8746156096458435,0.6131241917610168,0.6799898743629456,0.8052641749382019
