lr-AdamW/pg2,step,valid_collapse,valid_loss_t,lr-AdamW/pg1,valid_loss,lr-AdamW/pg3,epoch,valid_loss_c,valid_loss_a,train_collapse,train_loss_t,train_loss,train_loss_c,train_loss_a
,23429,,,,,,54,,,0.43800684809684753,0.819805920124054,0.8050506114959717,0.6363227963447571,0.07698628306388855
0.0004900761390562515,23430,,,0.0004900761390562515,,0.0004900761390562515,,,,,,,,
,23855,0.21941739320755005,0.7625055313110352,,0.9206491708755493,,55,0.8473678231239319,0.1157124787569046,,,,,
,23855,,,,,,55,,,0.43942493200302124,0.8215892314910889,0.8087155222892761,0.6406347751617432,0.07760360836982727
0.0004887113296213573,23856,,,0.0004887113296213573,,0.0004887113296213573,,,,,,,,
,24281,0.21694119274616241,0.7670789361000061,,0.9253019690513611,,56,0.8546348214149475,0.11444514244794846,,,,,
,24281,,,,,,56,,,0.44185179471969604,0.8215417861938477,0.8084306120872498,0.639954686164856,0.07768233120441437
0.0004872609185043533,24282,,,0.0004872609185043533,,0.0004872609185043533,,,,,,,,
,24707,0.213004931807518,0.7750180959701538,,0.9335803985595703,,57,0.861990213394165,0.1150762215256691,,,,,
,24707,,,,,,57,,,0.44250452518463135,0.8202328681945801,0.806836724281311,0.6382027864456177,0.0776185467839241
0.0004857254622504637,24708,,,0.0004857254622504637,,0.0004857254622504637,,,,,,,,
,25133,0.21550217270851135,0.7713326215744019,,0.9323743581771851,,58,0.8607468605041504,0.11633454263210297,,,,,
,25133,,,,,,58,,,0.4436378479003906,0.8217834234237671,0.8086128830909729,0.6396051049232483,0.07791868597269058
0.00048410555003805013,25134,,,0.00048410555003805013,,0.00048410555003805013,,,,,,,,
,25559,0.21442803740501404,0.772521436214447,,0.9363918304443359,,59,0.8649129867553711,0.11767460405826569,,,,,
,25559,,,,,,59,,,0.44498518109321594,0.8204694390296936,0.8071072697639465,0.6382728219032288,0.07773613184690475
0.0004824018034525339,25560,,,0.0004824018034525339,,0.0004824018034525339,,,,,,,,
,25985,0.21831007301807404,0.7721612453460693,,0.9352635741233826,,60,0.8597959876060486,0.11928500980138779,,,,,
,25985,,,,,,60,,,0.447325736284256,0.8216133713722229,0.8094133734703064,0.6404998898506165,0.07835690677165985
0.0004806148762478851,25986,,,0.0004806148762478851,,0.0004806148762478851,,,,,,,,
,26411,0.2200581282377243,0.7620571851730347,,0.9255057573318481,,61,0.8533557653427124,0.1177993193268776,,,,,
,26411,,,,,,61,,,0.4504224956035614,0.8193851709365845,0.8063238263130188,0.6369883418083191,0.07813699543476105
0.00047874545409576624,26412,,,0.00047874545409576624,,0.00047874545409576624,,,,,,,,
,26837,0.220681294798851,0.7672918438911438,,0.9306231141090393,,62,0.8507043719291687,0.12162499129772186,,,,,
,26837,,,,,,62,,,0.45293912291526794,0.8181319236755371,0.8049930334091187,0.6354331970214844,0.07821039110422134
0.00047679425432242965,26838,,,0.00047679425432242965,,0.00047679425432242965,,,,,,,,
,27263,0.2187589854001999,0.7693974375724792,,0.9292796850204468,,63,0.8542628884315491,0.11744952946901321,,,,,
,27263,,,,,,63,,,0.4558442533016205,0.8220709562301636,0.8105862140655518,0.6405929923057556,0.07925420999526978
0.00047476202563346854,27264,,,0.00047476202563346854,,0.00047476202563346854,,,,,,,,
,27689,0.2177100032567978,0.7715360522270203,,0.9421000480651855,,64,0.8657167553901672,0.12347368150949478,,,,,
,27689,,,,,,64,,,0.4590310752391815,0.8201472163200378,0.8082675933837891,0.6376194357872009,0.07938423752784729
0.00047264954782652677,27690,,,0.00047264954782652677,,0.00047264954782652677,,,,,,,,
,28115,0.2160157412290573,0.7710297703742981,,0.9386124014854431,,65,0.8624827265739441,0.12185616791248322,,,,,
,28115,,,,,,65,,,0.4604834318161011,0.8173220157623291,0.8049299716949463,0.6340240240097046,0.07925691455602646
0.0004704576314920782,28116,,,0.0004704576314920782,,0.0004704576314920782,,,,,,,,
,28541,0.21252644062042236,0.7704607844352722,,0.9371498227119446,,66,0.8577627539634705,0.1230381578207016,,,,,
,28541,,,,,,66,,,0.4616081118583679,0.8169310092926025,0.8050292730331421,0.6340950727462769,0.07951614260673523
0.00046818711770239135,28542,,,0.00046818711770239135,,0.00046818711770239135,,,,,,,,
,28967,0.2239687442779541,0.767005205154419,,0.9287710785865784,,67,0.8461139798164368,0.1222115233540535,,,,,
,28967,,,,,,67,,,0.46241477131843567,0.8178362846374512,0.8058454394340515,0.6344910264015198,0.07968159019947052
0.0004658388776887961,28968,,,0.0004658388776887961,,0.0004658388776887961,,,,,,,,
,29393,0.2243136614561081,0.7666183710098267,,0.9321381449699402,,68,0.8510628938674927,0.12329748272895813,,,,,
,29393,,,,,,68,,,0.4636602997779846,0.815310001373291,0.8025307655334473,0.6311090588569641,0.0793212428689003
0.00046341381250737906,29394,,,0.00046341381250737906,,0.00046341381250737906,,,,,,,,
,29819,0.2187524139881134,0.7746681571006775,,0.9421967267990112,,69,0.8674985766410828,0.12111332267522812,,,,,
,29819,,,,,,69,,,0.4649059772491455,0.8170992136001587,0.8046680688858032,0.6327096819877625,0.07976359128952026
0.00046091285269323444,29820,,,0.00046091285269323444,,0.00046091285269323444,,,,,,,,
,30245,0.22141411900520325,0.7718871831893921,,0.9401692748069763,,70,0.8610947728157043,0.12367826700210571,,,,,
,30245,,,,,,70,,,0.46562933921813965,0.8150243163108826,0.8029856085777283,0.6308673024177551,0.08003999292850494
0.00045833695790340346,30246,,,0.00045833695790340346,,0.00045833695790340346,,,,,,,,
,30671,0.22185397148132324,0.7662606239318848,,0.9337495565414429,,71,0.855036199092865,0.12310123443603516,,,,,
,30671,,,,,,71,,,0.46728137135505676,0.8161205053329468,0.8042948246002197,0.6315534710884094,0.08045779168605804
0.00045568711654863855,30672,,,0.00045568711654863855,,0.00045568711654863855,,,,,,,,
,31097,0.216144397854805,0.7800805568695068,,0.9536280632019043,,72,0.8757032752037048,0.12573610246181488,,,,,
,31097,,,,,,72,,,0.46886083483695984,0.8164772391319275,0.80484539270401,0.6317198276519775,0.0807468593120575
0.00045296434541413526,31098,,,0.00045296434541413526,,0.00045296434541413526,,,,,,,,
,31523,0.23017993569374084,0.7681191563606262,,0.9374483227729797,,73,0.8562626838684082,0.12525738775730133,,,,,
,31523,,,,,,73,,,0.46948733925819397,0.8165441155433655,0.8052968978881836,0.6323785781860352,0.08083552867174149
0.000450169689269376,31524,,,0.000450169689269376,,0.000450169689269376,,,,,,,,
,31949,0.21974894404411316,0.7728487849235535,,0.9425119161605835,,74,0.8586965799331665,0.12673918902873993,,,,,
